الترتيب / Ordre,الوحدة / Unité,الدرس / Leçon,المعرّف / Identifiant,النص المقروء (لاتيني) / Texte à lire (latin),النص (بالحرف العربي) / Texte (graphie arabe),المعنى / Sens (français),المعنى / Sens (arabe),الصوت / Voix,الدور في الحوار / Rôle dans le dialogue
21,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000021,isem-inu Aksil,إسمينو أكسيل,je m'appelle Aksil,اسمي أكسيل,رجل / homme,Aksil (♂) — U1 « Première rencontre » / «أول لقاء»
22,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000022,isem-inu Dihya,إسمينو ديهيا,je m'appelle Dihya,اسمي ديهيا,امرأة / femme,Dihya (♀) — U1 « Première rencontre » / «أول لقاء»
23,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000023,ameddukel,أمدوكل,ami,صديق,أيّ صوت / au choix,
24,1 — Salutations et présentations / التحيات والتعارف,3. Comment t'appelles-tu ? / ما اسمك؟,3c010000-0000-4000-8000-000000000024,tameddukelt,تامدوكلت,amie,صديقة,أيّ صوت / au choix,
25,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000025,acawi,أشاوي,Chaoui (un homme chaoui),شاوي,أيّ صوت / au choix,
26,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000026,tacawit,تاشاويت,"le tachawit, la langue chaouie",الشاوية (اللغة),أيّ صوت / au choix,
27,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000027,Awras,أوراس,les Aurès,الأوراس,أيّ صوت / au choix,
28,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000028,nec d acawi,نش د أشاوي,je suis chaoui (dit par un homme),أنا شاوي,رجل / homme,Massin (♂) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟»
29,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000029,nec d tacawit,نش د تاشاويت,je suis chaouie (dit par une femme),أنا شاوية,امرأة / femme,Tiziri (♀) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟»
30,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000030,amaziɣ,أمازيغ,Amazigh (un homme amazigh),أمازيغي,أيّ صوت / au choix,
31,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000031,tamaziɣt,تامازيغت,"le tamazight, la langue amazighe",الأمازيغية (اللغة),أيّ صوت / au choix,
32,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000032,ur fhimeɣ ca,أور فهيمغ شا,je ne comprends pas,لا أفهم,أيّ صوت / au choix,
33,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000033,cek d acawi,شك د أشاوي,es-tu chaoui ? (à un homme),هل أنت شاوي؟,أيّ صوت / au choix,Tiziri (♀) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟»
34,1 — Salutations et présentations / التحيات والتعارف,4. Fiers d'être chaouis / شاوي وأفتخر,3c010000-0000-4000-8000-000000000034,ssiwleɣ tacawit,سيولغ تاشاويت,je parle tachawit,أتكلّم الشاوية,أيّ صوت / au choix,Massin (♂) — U1 « Tu es chaoui ? » / «هل أنت شاوي؟»
35,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000001,yemma,يما,ma mère,أمّي,أيّ صوت / au choix,
36,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000002,baba,بابا,mon père,أبي,أيّ صوت / au choix,
37,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000003,mmi,مي,mon fils,ابني,أيّ صوت / au choix,
38,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000004,illi,إلي,ma fille,ابنتي,أيّ صوت / au choix,
39,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000005,wa,وا,celui-ci,هذا,أيّ صوت / au choix,
40,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000006,ta,تا,celle-ci,هذه,أيّ صوت / au choix,
41,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000007,wa d baba,وا د بابا,voici mon père,هذا أبي,أيّ صوت / au choix,Yuba (♂) — U2 « Voici ma famille » / «تعرّف على عائلتي» ; Aksil (♂) — U2 « Où est ta mère ? » / «أين أمّك؟»
42,2 — La famille et les gens / العائلة والناس,1. Mère et père / الأم والأب,3c020000-0000-4000-8000-000000000008,ta d yemma,تا د يما,voici ma mère,هذه أمّي,أيّ صوت / au choix,Yuba (♂) — U2 « Voici ma famille » / «تعرّف على عائلتي»
43,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000009,uma,أوما,mon frère,أخي,أيّ صوت / au choix,
44,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000010,ultma,أولتما,ma sœur,أختي,أيّ صوت / au choix,
45,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000011,wa d uma,وا د أوما,voici mon frère,هذا أخي,أيّ صوت / au choix,Yuba (♂) — U2 « Voici ma famille » / «تعرّف على عائلتي»
46,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000012,ta d ultma,تا د أولتما,voici ma sœur,هذه أختي,أيّ صوت / au choix,Yuba (♂) — U2 « Voici ma famille » / «تعرّف على عائلتي»
47,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000013,wa d mmi,وا د مي,voici mon fils,هذا ابني,أيّ صوت / au choix,
48,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000014,ta d illi,تا د إلي,voici ma fille,هذه ابنتي,أيّ صوت / au choix,
49,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000015,ameqqran,أمقران,grand ; l'aîné,كبير؛ الأكبر,أيّ صوت / au choix,
50,2 — La famille et les gens / العائلة والناس,2. Frères et sœurs / الإخوة والأخوات,3c020000-0000-4000-8000-000000000016,amecṭuḥ,أمشطوح,petit ; le cadet,صغير؛ الأصغر,أيّ صوت / au choix,
51,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000017,argaz,أرڨاز,homme ; mari,رجل؛ زوج,أيّ صوت / au choix,
52,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000018,tamɣart,تامغارت,femme ; épouse,امرأة؛ زوجة,أيّ صوت / au choix,
53,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000019,irgazen,إرڨازن,hommes,رجال,أيّ صوت / au choix,
54,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000020,amɣar,أمغار,vieil homme ; ancien,شيخ؛ رجل مُسنّ,أيّ صوت / au choix,
55,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000021,medden,مدن,les gens,الناس,أيّ صوت / au choix,
56,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000022,netta d argaz-inu,نتا د أرڨازينو,c'est mon mari,هو زوجي,امرأة / femme,
57,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000023,nettat d tamɣart-inu,نتات د تامغارتينو,c'est ma femme,هي زوجتي,رجل / homme,
58,2 — La famille et les gens / العائلة والناس,3. Hommes et femmes / الرجال والنساء,3c020000-0000-4000-8000-000000000024,tawacult,تاواشولت,famille,عائلة,أيّ صوت / au choix,
59,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000025,yemma-k,يماك,ta mère (à un homme),أمّك (لرجل),أيّ صوت / au choix,
60,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000026,yemma-m,يمام,ta mère (à une femme),أمّكِ (لامرأة),أيّ صوت / au choix,
61,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000027,baba-k,باباك,ton père (à un homme),أبوك (لرجل),أيّ صوت / au choix,
62,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000028,yemma-s,يماس,sa mère,أمّه، أمّها,أيّ صوت / au choix,
63,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000029,baba-s,باباس,son père,أبوه، أبوها,أيّ صوت / au choix,
64,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000030,tawacult-inu,تاواشولتينو,ma famille,عائلتي,أيّ صوت / au choix,
65,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000031,anebgi,أنبڨي,invité,ضيف,أيّ صوت / au choix,
66,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000032,mani,ماني,où,أين,أيّ صوت / au choix,
67,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000033,mani tella yemma-k,ماني تلا يماك,où est ta mère ? (à un homme),أين أمّك؟,أيّ صوت / au choix,Dihya (♀) — U2 « Où est ta mère ? » / «أين أمّك؟»
68,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000034,yemma tella deg taddart,يما تلا دڨ تادارت,ma mère est à la maison,أمّي في البيت,أيّ صوت / au choix,Aksil (♂) — U2 « Où est ta mère ? » / «أين أمّك؟»
69,2 — La famille et les gens / العائلة والناس,4. Ta famille / عائلتك,3c020000-0000-4000-8000-000000000035,netta d baba-k,نتا د باباك,c'est ton père ? (à un homme),هل هو أبوك؟,أيّ صوت / au choix,Dihya (♀) — U2 « Où est ta mère ? » / «أين أمّك؟»
70,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000001,ijjen,إجن,un,واحد,أيّ صوت / au choix,
71,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000002,ijjet,إجت,une,واحدة,أيّ صوت / au choix,
72,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000003,sin,سين,deux,اثنان,أيّ صوت / au choix,
73,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000004,snat,سنات,deux (féminin),اثنتان,أيّ صوت / au choix,
74,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000005,kraḍ,كراض,trois,ثلاثة,أيّ صوت / au choix,
75,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000006,kkuẓ,كوز,quatre,أربعة,أيّ صوت / au choix,
76,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",1. De un à cinq / من واحد إلى خمسة,3c030000-0000-4000-8000-000000000007,semmus,سموس,cinq,خمسة,أيّ صوت / au choix,
77,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000008,sḍis,سضيس,six,ستة,أيّ صوت / au choix,
78,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000009,sa,سا,sept,سبعة,أيّ صوت / au choix,
79,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000010,tam,تام,huit,ثمانية,أيّ صوت / au choix,
80,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000011,tẓa,تزا,neuf,تسعة,أيّ صوت / au choix,
81,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000012,mraw,مراو,dix,عشرة,أيّ صوت / au choix,
82,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000013,acḥal,أشحال,combien,كم,أيّ صوت / au choix,
83,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000014,amezwaru,أمزوارو,premier,الأوّل,أيّ صوت / au choix,
84,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",2. De six à dix / من ستة إلى عشرة,3c030000-0000-4000-8000-000000000015,aneggaru,أنڨارو,dernier,الأخير,أيّ صوت / au choix,
85,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000016,ass,أس,jour,يوم,أيّ صوت / au choix,
86,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000017,ussan,أوسان,jours,أيام,أيّ صوت / au choix,
87,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000018,iḍ,إض,nuit,ليل، ليلة,أيّ صوت / au choix,
88,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000019,assa,أسا,aujourd'hui,اليوم,أيّ صوت / au choix,
89,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000020,azekka,أزكا,demain,غدًا,أيّ صوت / au choix,
90,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000021,iḍelli,إضلي,hier,أمس,أيّ صوت / au choix,
91,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000022,tameddit,تامديت,soir,مساء,أيّ صوت / au choix,
92,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000023,tura,تورا,maintenant,الآن,أيّ صوت / au choix,
93,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3. Le jour et la nuit / النهار والليل,3c030000-0000-4000-8000-000000000024,yal ass,يال أس,chaque jour,كل يوم,أيّ صوت / au choix,
94,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000025,aseggas,أسڨاس,année,سنة، عام,أيّ صوت / au choix,
95,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000026,yennayer,يناير,"Yennayer, le nouvel an amazigh",ينّاير، رأس السنة الأمازيغية,أيّ صوت / au choix,
96,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000027,aseggas ameggaz,أسڨاس أمڨاز,bonne année,سنة سعيدة,أيّ صوت / au choix,Massin (♂) — U3 « Bonne année » / «سنة سعيدة»
97,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000028,assa d yennayer,أسا د يناير,"aujourd'hui, c'est Yennayer",اليوم ينّاير,أيّ صوت / au choix,Tanina (♀) — U3 « Bonne année » / «سنة سعيدة»
98,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000029,ula d cek,أولا د شك,toi aussi (à un homme),وأنت أيضًا,أيّ صوت / au choix,Tanina (♀) — U3 « Bonne année » / «سنة سعيدة»
99,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000030,sin n wussan,سين ن وسان,deux jours,يومان,أيّ صوت / au choix,
100,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000031,kraḍ n wussan,كراض ن وسان,trois jours,ثلاثة أيام,أيّ صوت / au choix,Dihya (♀) — U3 « À demain » / «إلى الغد»
101,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000032,ar azekka,أر أزكا,à demain,إلى الغد,أيّ صوت / au choix,Dihya (♀) — U3 « À demain » / «إلى الغد»
102,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000033,acḥal n wussan,أشحال ن وسان,combien de jours ?,كم يومًا؟,أيّ صوت / au choix,Aksil (♂) — U3 « À demain » / «إلى الغد»
103,"3 — Nombres, jours et temps / الأعداد والأيام والوقت",4. Une nouvelle année / سنة جديدة,3c030000-0000-4000-8000-000000000034,azekka d ass n ssuq,أزكا د أس ن سوق,"demain, c'est jour de marché",غدًا يوم السوق,أيّ صوت / au choix,Aksil (♂) — U3 « À demain » / «إلى الغد»
104,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000001,aman,أمان,eau,ماء,أيّ صوت / au choix,
105,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000002,aɣrum,أغروم,pain,خبز,أيّ صوت / au choix,
106,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000003,tisent,تيسنت,sel,ملح,أيّ صوت / au choix,
107,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000004,zzit,زيت,huile,زيت,أيّ صوت / au choix,
108,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000005,sew,سو,bois !,اشرب,أيّ صوت / au choix,
109,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000006,ecc,أش,mange !,كُلْ,أيّ صوت / au choix,
110,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000007,sew aman,سو أمان,bois de l'eau,اشرب الماء,أيّ صوت / au choix,
111,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",1. Le pain et l'eau / الخبز والماء,3c040000-0000-4000-8000-000000000008,ecc aɣrum,أش أغروم,mange du pain,كُلِ الخبز,أيّ صوت / au choix,Massin (♂) — U4 « À table ! » / «العشاء جاهز»
112,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000009,aksum,أكسوم,viande,لحم,أيّ صوت / au choix,
113,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000010,tamellalt,تاملالت,œuf,بيضة,أيّ صوت / au choix,
114,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000011,aɣi,أغي,lait ; petit-lait,حليب؛ لبن,أيّ صوت / au choix,
115,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000012,udi,أودي,beurre (smen),سمن,أيّ صوت / au choix,
116,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000013,tament,تامنت,miel,عسل,أيّ صوت / au choix,
117,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000014,irden,إردن,blé,قمح,أيّ صوت / au choix,
118,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000015,timẓin,تيمزين,orge,شعير,أيّ صوت / au choix,
119,"4 — Nourriture, boissons et marché / الطعام والشراب والسوق",2. De la ferme / من المزرعة,3c040000-0000-4000-8000-000000000016,aren,أرن,farine,دقيق,أيّ صوت / au choix,
