الوحدة / Unité,المعرّف / Identifiant,بالحرف اللاتيني / Latin,بالحرف العربي / Graphie arabe,تيفيناغ / Tifinagh,المعنى بالإنجليزية / Sens (anglais),المعنى بالفرنسية / Sens (français),المعنى بالعربية / Sens (arabe),نوع الكلمة / Nature du mot,المنطقة / Région,"درجة الثقة / Confiance (high, medium, low)",لماذا (بالفرنسية) / Pourquoi,لماذا / Pourquoi (arabe),صيغ أخرى معروفة / Variantes connues,أول درس / Première leçon,صحيح؟ / Correct ?,التصحيح / Correction,المراجِع / Relecteur,القرية / Village
1 — Salutations et présentations / التحيات والتعارف,3c010000-0000-4000-8000-000000000034,ssiwleɣ tacawit,سيولغ تاشاويت,ⵙⵙⵉⵡⵍⴻⵖ ⵜⴰⵛⴰⵡⵉⵜ,I speak Tachawit,je parle tachawit,أتكلّم الشاوية,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Verbe ssiwel « parler » (comme en rifain) ; le chaoui emploie peut-être un autre verbe.,الفعل ssiwel «تكلّم» (كما في الريفية)؛ قد تستعمل الشاوية فعلًا آخر.,ttmeslayeɣ,4. Fiers d'être chaouis / شاوي وأفتخر,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000005,wa,وا,ⵡⴰ,this one (masculine),celui-ci,هذا,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Démonstratif wa / ta ; le chaoui dit peut-être wagi ou wiya.,اسم الإشارة wa / ta؛ قد تقول الشاوية wagi أو wiya.,wagi,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000006,ta,تا,ⵜⴰ,this one (feminine),celle-ci,هذه,pronom / ضمير,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Démonstratif wa / ta ; le chaoui dit peut-être tagi ou tiya.,اسم الإشارة wa / ta؛ قد تقول الشاوية tagi أو tiya.,tagi,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000007,wa d baba,وا د بابا,ⵡⴰ ⴷ ⴱⴰⴱⴰ,this is my father,voici mon père,هذا أبي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000008,ta d yemma,تا د يما,ⵜⴰ ⴷ ⵢⴻⵎⵎⴰ,this is my mother,voici ma mère,هذه أمّي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,1. Mère et père / الأم والأب,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000009,uma,أوما,ⵓⵎⴰ,my brother,mon frère,أخي,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète (rifain uma) ; le kabyle dit gma. À confirmer.,صيغة زناتية (بالريفية uma)؛ القبائلية تقول gma. يجب التأكد.,gma,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000011,wa d uma,وا د أوما,ⵡⴰ ⴷ ⵓⵎⴰ,this is my brother,voici mon frère,هذا أخي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000012,ta d ultma,تا د أولتما,ⵜⴰ ⴷ ⵓⵍⵜⵎⴰ,this is my sister,voici ma sœur,هذه أختي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000013,wa d mmi,وا د مي,ⵡⴰ ⴷ ⵎⵎⵉ,this is my son,voici mon fils,هذا ابني,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000014,ta d illi,تا د إلي,ⵜⴰ ⴷ ⵉⵍⵍⵉ,this is my daughter,voici ma fille,هذه ابنتي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000015,ameqqran,أمقران,ⴰⵎⴻⵇⵇⵔⴰⵏ,big; the eldest,grand ; l'aîné,كبير؛ الأكبر,adjectif / صفة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,amuqran,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000016,amecṭuḥ,أمشطوح,ⴰⵎⴻⵛⵟⵓⵃ,small; the youngest,petit ; le cadet,صغير؛ الأصغر,adjectif / صفة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,amezzyan,2. Frères et sœurs / الإخوة والأخوات,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000022,netta d argaz-inu,نتا د أرڨازينو,ⵏⴻⵜⵜⴰ ⴷ ⴰⵔⴳⴰⵣ-ⵉⵏⵓ,he is my husband,c'est mon mari,هو زوجي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000023,nettat d tamɣart-inu,نتات د تامغارتينو,ⵏⴻⵜⵜⴰⵜ ⴷ ⵜⴰⵎⵖⴰⵔⵜ-ⵉⵏⵓ,she is my wife,c'est ma femme,هي زوجتي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000024,tawacult,تاواشولت,ⵜⴰⵡⴰⵛⵓⵍⵜ,family,famille,عائلة,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,lɛayla (arabe),3. Hommes et femmes / الرجال والنساء,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000030,tawacult-inu,تاواشولتينو,ⵜⴰⵡⴰⵛⵓⵍⵜ-ⵉⵏⵓ,my family,ma famille,عائلتي,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Possessif -inu « mon » ; certains parlers disent -iw. À confirmer.,لاحقة الملكية ‎-inu (ـي)؛ بعض اللهجات تقول ‎-iw. يجب التأكد.,tawacult-iw,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000031,anebgi,أنبڨي,ⴰⵏⴻⴱⴳⵉ,guest,invité,ضيف,nom / اسم,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000032,mani,ماني,ⵎⴰⵏⵉ,where,où,أين,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète (proche du rifain) attribuée au chaoui sans certitude.,صيغة زناتية (قريبة من الريفية) منسوبة إلى الشاوية دون يقين.,"anda, anida",4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000033,mani tella yemma-k,ماني تلا يماك,ⵎⴰⵏⵉ ⵜⴻⵍⵍⴰ ⵢⴻⵎⵎⴰ-ⴽ,where is your mother? (to a man),où est ta mère ? (à un homme),أين أمّك؟,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000034,yemma tella deg taddart,يما تلا دڨ تادارت,ⵢⴻⵎⵎⴰ ⵜⴻⵍⵍⴰ ⴷⴻⴳ ⵜⴰⴷⴷⴰⵔⵜ,my mother is at home,ma mère est à la maison,أمّي في البيت,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Ta famille / عائلتك,,,,
2 — La famille et les gens / العائلة والناس,3c020000-0000-4000-8000-000000000035,netta d baba-k,نتا د باباك,ⵏⴻⵜⵜⴰ ⴷ ⴱⴰⴱⴰ-ⴽ,is he your father? (to a man),c'est ton père ? (à un homme),هل هو أبوك؟,phrase / عبارة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Phrase composée à partir de mots connus ; grammaire et ordre des mots à vérifier.,جملة مركّبة من كلمات معروفة؛ يجب التحقق من القواعد وترتيب الكلمات.,,4. Ta famille / عائلتك,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000001,ijjen,إجن,ⵉⵊⵊⴻⵏ,one,un,واحد,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme zénète (rifain ijjen) ; le kabyle dit yiwen. À confirmer en chaoui.,صيغة زناتية (بالريفية ijjen)؛ القبائلية تقول yiwen. يجب التأكد في الشاوية.,"yiwen, iǧǧen",1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000002,ijjet,إجت,ⵉⵊⵊⴻⵜ,one (feminine),une,واحدة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Féminin de ijjen ; le kabyle dit yiwet. À confirmer.,مؤنث ijjen؛ القبائلية تقول yiwet. يجب التأكد.,yiwet,1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000005,kraḍ,كراض,ⴽⵔⴰⴹ,three,trois,ثلاثة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,tlata (arabe),1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000006,kkuẓ,كوز,ⴽⴽⵓⵥ,four,quatre,أربعة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,rebɛa (arabe),1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000007,semmus,سموس,ⵙⴻⵎⵎⵓⵙ,five,cinq,خمسة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,xemsa (arabe),1. De un à cinq / من واحد إلى خمسة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000008,sḍis,سضيس,ⵙⴹⵉⵙ,six,six,ستة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,setta (arabe),2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000009,sa,سا,ⵙⴰ,seven,sept,سبعة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,sebɛa (arabe),2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000010,tam,تام,ⵜⴰⵎ,eight,huit,ثمانية,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,tmanya (arabe),2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000011,tẓa,تزا,ⵜⵥⴰ,nine,neuf,تسعة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,tesɛa (arabe),2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000012,mraw,مراو,ⵎⵔⴰⵡ,ten,dix,عشرة,nombre / عدد,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Nombre amazigh ; dans le chaoui courant on compte souvent en arabe à partir de trois. Dites-nous quelle forme enseigner.,عدد أمازيغي؛ في الشاوية اليومية كثيرًا ما يُعدّ بالعربية ابتداءً من ثلاثة. أخبرونا بأي صيغة نعلّم.,ɛecra (arabe),2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000013,acḥal,أشحال,ⴰⵛⵃⴰⵍ,how many; how much,combien,كم,adverbe / ظرف,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme kabyle et algérienne ; le chaoui dit peut-être cḥal ou menḥal.,صيغة قبائلية وجزائرية؛ قد تقول الشاوية cḥal أو menḥal.,cḥal,2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000014,amezwaru,أمزوارو,ⴰⵎⴻⵣⵡⴰⵔⵓ,first,premier,الأوّل,adjectif / صفة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,2. De six à dix / من ستة إلى عشرة,,,,
"3 — Nombres, jours et temps / الأعداد والأيام والوقت",3c030000-0000-4000-8000-000000000015,aneggaru,أنڨارو,ⴰⵏⴻⴳⴳⴰⵔⵓ,last,dernier,الأخير,adjectif / صفة,tout l'Aurès (non précisé) / كل الأوراس (غير محدد),low,Forme connue surtout en kabyle ou en tamazight standard ; son usage en chaoui est à confirmer.,صيغة معروفة أساسًا في القبائلية أو الأمازيغية المعيارية؛ يجب تأكيد استعمالها في الشاوية.,,2. De six à dix / من ستة إلى عشرة,,,,
